system:index,LST_Celsius,data,.geo
2000_02_26,29.580848076383074,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,23.410498812351573,2000-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,29.40794720584109,2000-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,28.29174706649286,2000-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,31.53455490030894,2000-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,34.16772816624546,2000-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,32.374038743762874,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,35.30197135636061,2000-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,38.61645885987084,2000-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.881038156947472,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,35.20612187587759,2000-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,31.819945629443776,2000-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,30.205680950360673,2000-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,32.14447224749776,2000-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,26.873077930582884,2000-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,37.70054479078914,2000-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,33.86340634653191,2000-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,33.44870988550236,2000-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,27.950000000000045,2000-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,34.82744647105475,2000-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,29.174612244897983,2000-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,27.259553478712395,2000-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,29.99574907958089,2000-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_21,24.981215492377448,2000-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,30.491822521763588,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,31.86940466161194,2000-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,29.21864925582704,2000-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,29.864973404255352,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,29.249114315139064,2000-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_04,24.556583268178308,2000-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_05,22.230000000000015,2000-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_10,25.968780721353372,2000-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_15,32.34582420668355,2000-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,24.711007512152044,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_18,26.538162150808688,2000-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_20,32.57592530188151,2000-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_22,28.813747696088495,2000-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,25.58348678601881,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_25,27.95925613188584,2000-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_26,26.83000000000004,2000-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_27,35.97831227183379,2000-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_30,34.702886829542294,2000-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_31,34.2368444948922,2000-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_02,32.94921089581581,2000-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_03,35.037868576242666,2000-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_14,27.19100306098426,2000-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,28.369764111204756,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_21,34.95243751755128,2000-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_22,31.408191519236208,2000-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_23,31.429092147072204,2000-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_24,31.689418702611658,2000-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,32.65592811008147,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_30,33.111918000561666,2000-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_07,31.11610783487788,2000-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_16,28.978854573885886,2000-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_17,29.68468407750636,2000-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_18,32.500769446784645,2000-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_19,27.283990448901644,2000-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_20,30.003466257668737,2000-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_23,27.523117959617466,2000-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_24,32.35355237292899,2000-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_25,32.443910761154875,2000-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,34.56188991856223,2000-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_19,29.85889296187688,2000-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,32.586215981470794,2000-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_21,26.417874015748072,2000-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_22,36.9317663577647,2000-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_24,38.033336141533304,2000-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_26,37.89083965178324,2000-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_27,38.139960685200805,2000-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,34.59404942431905,2000-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_29,40.4398315080034,2000-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_31,38.73294299354118,2000-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_02,39.28156416736874,2000-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_03,36.02794158944121,2000-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_04,37.91393990452123,2000-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,32.76775778027749,2000-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_11,35.069458017410874,2000-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_12,36.72942431901156,2000-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,30.00931683370835,2000-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_14,30.832625081221614,2000-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_16,31.260550335570496,2000-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_18,29.262779291553176,2000-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_20,32.87311148553781,2000-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,37.72258916034826,2000-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_23,37.44301039033983,2000-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_24,32.9067958656331,2000-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_25,41.5790817186184,2000-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_26,35.742078067958474,2000-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_27,33.139119025304616,2000-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,35.80854585427139,2000-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_30,32.9472307692308,2000-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_01,35.21118225217638,2000-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_02,44.38795843864088,2000-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_04,44.65102218477958,2000-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_05,40.20457174950859,2000-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_06,40.31002808199948,2000-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,41.42443414771136,2000-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_08,34.902193623866644,2000-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_11,33.18727097396338,2000-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_13,34.85000000000002,2000-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_14,39.48378264532437,2000-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,41.931684919966344,2000-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_16,42.978708228025866,2000-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_17,38.35096040438083,2000-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_18,39.069724217178994,2000-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_20,43.12930661254865,2000-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_21,38.756638584667265,2000-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_22,40.11032294299358,2000-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_24,38.11103903397925,2000-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_25,44.840598146588064,2000-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_30,40.122457174950895,2000-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_01,43.15149957877005,2000-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_05,42.0214265655715,2000-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_06,41.82573434428536,2000-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_07,41.967408031451875,2000-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_12,45.01150800336988,2000-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_14,44.83520359449597,2000-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_15,33.16214501510577,2000-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,41.393684358326354,2000-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_17,32.01000000000005,2000-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_19,31.425948717948724,2000-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_21,41.044628934449925,2000-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_22,42.53773097444542,2000-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_23,42.22550688008989,2000-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_24,44.3197360292053,2000-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_29,40.35384442572315,2000-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_30,45.996346531873115,2000-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_01,44.02599831508005,2000-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_02,41.18959842740806,2000-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_03,44.08505475989894,2000-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_04,36.73065992698683,2000-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_05,44.42290929514186,2000-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_07,45.63829542263411,2000-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_08,37.62170525702639,2000-12-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_09,42.931901151362005,2000-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_10,44.931839370963246,2000-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_11,40.15479359730418,2000-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_19,34.2721061499579,2000-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_20,33.825386127492315,2000-12-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_21,37.72132827857348,2000-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_23,37.836352148273,2000-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_25,36.85222409435555,2000-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_26,31.524288161726936,2000-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_27,29.301300112401673,2000-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_28,27.12556156968878,2000-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_31,33.5388317888234,2000-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01,39.21579050828422,2001-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_02,35.562212861555786,2001-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_03,35.03267340634656,2001-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_06,32.61206344586733,2001-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_08,40.545372086492605,2001-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_09,34.741303004773975,2001-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_15,33.49984765386963,2001-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_17,37.74468407750635,2001-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_19,34.0615613591688,2001-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_20,38.501390058972234,2001-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
