system:index,LST_Celsius,data,.geo
2000_02_26,29.19556757303144,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,23.71825722777631,2000-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,28.674457697361785,2000-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,28.007344034108733,2000-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,30.575619124633587,2000-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,32.932390579197424,2000-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,31.33408484433804,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,33.930795511978175,2000-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,37.005889012433045,2000-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_20,24.65532467532472,2000-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.81366166902406,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,33.97971596078038,2000-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,31.34239691343144,2000-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,29.426672975396002,2000-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,27.616175869120674,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,31.26764997703263,2000-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,26.745477156465032,2000-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,36.875560497321345,2000-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,33.10142695006192,2000-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,33.634459475355854,2000-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,30.746224386966787,2000-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,34.23210101786062,2000-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,28.230000000000018,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,29.28636119116237,2000-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,27.008517914101347,2000-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,28.395261787966795,2000-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_21,24.973396174487444,2000-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,29.748463560093015,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,30.934864045284563,2000-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,28.776361063378157,2000-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_29,21.305753012048235,2000-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,29.42256247259977,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,28.8399585062241,2000-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_04,24.57895646988674,2000-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_05,22.267884767166553,2000-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_07,21.55000000000001,2000-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_10,24.752382073415326,2000-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_15,31.572478520165777,2000-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,24.822725531507412,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_18,26.820817224579635,2000-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_20,32.03365915293643,2000-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_22,27.418525507641572,2000-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,25.57719658467172,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_25,27.68634848037772,2000-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_26,26.83000000000004,2000-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_27,35.245640351763896,2000-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_30,34.362448907145414,2000-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_31,33.52385000277981,2000-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_02,32.462599818053185,2000-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_03,34.50143333670273,2000-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_14,27.440758575197922,2000-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,28.046867128622743,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_21,34.05138886081071,2000-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_22,31.441135146062894,2000-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_23,30.986718233223105,2000-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_24,31.33205498837564,2000-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,32.22975740422522,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_30,32.267605377539695,2000-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_02,21.370000000000005,2000-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_07,30.707170726776532,2000-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
