system:index,LST_Celsius,data,.geo
2000_02_26,27.57132592031803,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,24.091694915254266,2000-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,26.815219555641157,2000-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_01,25.652598470867424,2000-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_02,20.335545982769005,2000-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_04,22.787591305113125,2000-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,24.206593752709008,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,27.869921024743558,2000-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,28.67026745519504,2000-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,31.063593786029962,2000-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,28.78409580429286,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,30.484034247592216,2000-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,33.86663127769867,2000-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_20,25.735239513041936,2000-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.114383128579615,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,31.561128856486672,2000-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,29.7962803278158,2000-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,26.967518995441107,2000-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,27.003589843881034,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_31,28.577935531661783,2000-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,29.9588907014682,2000-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,26.004550635470007,2000-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,33.94265692965116,2000-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,30.032366106601447,2000-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,25.774427409148494,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,32.55949932687998,2000-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,29.078295130693302,2000-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,29.818571863328305,2000-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,24.834013487502244,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,28.43855929772223,2000-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,25.158585759401305,2000-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_19,19.49000000000001,2000-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,26.953211983891283,2000-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_21,24.661171959695416,2000-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,28.084578317439394,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,29.043320191185924,2000-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,27.068721574845956,2000-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_29,25.833737243136753,2000-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,25.623886443484274,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,28.027633831727734,2000-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_03,20.27000000000004,2000-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_04,24.934116369764638,2000-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_05,21.914284142359776,2000-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_07,24.62027122823242,2000-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,26.37390825035565,2000-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_10,22.827725313777677,2000-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_15,29.503527009226794,2000-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,24.651666666666713,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_17,28.650000000000034,2000-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_18,26.28296301775154,2000-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_20,30.83089437956646,2000-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_21,23.184303664921526,2000-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_22,25.583468656929714,2000-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,26.761062915247827,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_25,28.13746755515987,2000-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_26,26.45109418415255,2000-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_27,33.400209522485824,2000-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_30,32.9970589849646,2000-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_31,30.96027704924449,2000-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_02,31.047211736797095,2000-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_03,32.762859430723005,2000-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
